Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Year_norm
Nissan,Other,2015.0,SUV,124000.0,1600.0,Diesel,1,13000.0,0.8536585365853658
Mercedes,C Class,2015.0,Universal,222000.0,2000.0,Plug-in Hybrid,1,17500.0,0.8536585365853658
Toyota,Rav 4,2016.0,Crossover,133494.0,2494.0,Hybrid,1,21500.0,0.8780487804878049
Mercedes,S Class,2001.0,Sedan,250830.0,4000.0,Diesel,1,4700.0,0.5121951219512195
BMW,5 Series,2011.0,Sedan,1.0,2000.0,Diesel,1,17500.0,0.7560975609756098
Other,Other,2016.0,Sedan,150000.0,1596.0,Metan/Propan,0,3200.0,0.8780487804878049
Seat,Other,2011.0,Universal,190000.0,1200.0,Diesel,0,5100.0,0.7560975609756098
Nissan,Other,2012.0,Crossover,124000.0,1600.0,Petrol,1,9999.0,0.7804878048780488
Audi,A4,1997.0,Sedan,300000.0,1800.0,Metan/Propan,1,2700.0,0.4146341463414634
Opel,Astra,2012.0,Universal,200000.0,1300.0,Diesel,0,6000.0,0.7804878048780488
Citroen,Other,2006.0,Universal,240000.0,1600.0,Diesel,0,2700.0,0.6341463414634146
Mercedes,C Class,2015.0,Sedan,75000.0,2000.0,Petrol,1,19000.0,0.8536585365853658
Ford,Other,2011.0,Hatchback,130000.0,1400.0,Metan/Propan,0,4700.0,0.7560975609756098
Volkswagen,Touran,2009.0,Universal,168.0,1400.0,Petrol,1,7390.0,0.7073170731707317
Volvo,XC90,2015.0,SUV,180000.0,2000.0,Petrol,1,26500.0,0.8536585365853658
Renault,Megane,2014.0,Universal,210000.0,1500.0,Diesel,0,7199.0,0.8292682926829268
BMW,5 Series,2017.0,Sedan,77000.0,2000.0,Diesel,1,33000.0,0.9024390243902439
Hyundai,Santa FE,2012.0,SUV,180000.0,2200.0,Diesel,1,16750.0,0.7804878048780488
Skoda,Superb,2012.0,Sedan,196000.0,1600.0,Diesel,0,9950.0,0.7804878048780488
Peugeot,Other,2006.0,Coupe,150.0,1600.0,Petrol,0,1500.0,0.6341463414634146
